autores,ocorrencias,origem,nome_normalizado,possivel_duplicata
"Maretto, Raian V.",2,geoinfo,maretto raian v,False
"Cardoso, Kleber V",2,geoinfo,cardoso kleber v,False
"Vieira, Marcos R.",2,geoinfo,vieira marcos r,False
"Camara, Jean H. S.",2,geoinfo,camara jean h s,False
"Silva, Marcelino P. S",2,geoinfo,silva marcelino p s,False
"Andrade, Pedro R.",2,geoinfo,andrade pedro r,False
"Lima, Tiago F. M.",2,geoinfo,lima tiago f m,False
"Lana, Raquel M.",2,geoinfo,lana raquel m,False
"Monteiro, Antônio M. V",2,geoinfo,monteiro antonio m v,False
"Correa, Thaís",2,geoinfo,correa thais,False
"Costa, Marcelo Azevedo",2,geoinfo,costa marcelo azevedo,False
"Kuhn, Werner",2,geoinfo,kuhn werner,False
"Souza, Damires",2,geoinfo,souza damires,False
"Paulo, Maurício Carvalho Mathias de",2,geoinfo,paulo mauricio carvalho mathias de,False
"Maretto, Raian Vargas",2,geoinfo,maretto raian vargas,False
"Costa, Marcelo A.",2,geoinfo,costa marcelo a,False
"Masiero, Leone Pereira",2,geoinfo,masiero leone pereira,False
"Carvalho, Marcelo T. M",2,geoinfo,carvalho marcelo t m,False
"Costa, Sergio",2,geoinfo,costa sergio,False
"Martinhago, Adriana Z.",2,geoinfo,martinhago adriana z,False
"Paiva, Anselmo Cardoso de",2,geoinfo,paiva anselmo cardoso de,False
"Lemos, Melissa",2,geoinfo,lemos melissa,False
"Costa, Antônio Carlos da Rocha",2,geoinfo,costa antonio carlos da rocha,False
"Castano, Silvana",2,geoinfo,castano silvana,False
"Mello, Carlos Eduardo R. de",2,geoinfo,mello carlos eduardo r de,False
"Silva, Geraldo Zimbrńo da",2,geoinfo,silva geraldo zimbrno da,False
"Souza, Jano M. de",2,geoinfo,souza jano m de,False
"Alves, Leonardo Lacerda",2,geoinfo,alves leonardo lacerda,False
"Lopes, Danilo L",2,geoinfo,lopes danilo l,False
"Zimbrão, Geraldo",2,geoinfo,zimbrao geraldo,False
"Palomo, Danilo",2,geoinfo,palomo danilo,False
"Meyer, Wladimir S.",2,geoinfo,meyer wladimir s,False
"Rodrigues, Vinícius Lopes",2,geoinfo,rodrigues vinicius lopes,False
"Silva, Adler C. G. da",2,geoinfo,silva adler c g da,False
"Wu, Shin-ting",2,geoinfo,wu shinting,False
"Andrade Neto, Pedro Ribeiro de",2,geoinfo,andrade neto pedro ribeiro de,False
"Ruschel, Cláudio",2,geoinfo,ruschel claudio,False
"Bentes, Cristiana",2,geoinfo,bentes cristiana,False
"Farias, Ricardo",2,geoinfo,farias ricardo,False
"Ramirez, Milton Ramos",2,geoinfo,ramirez milton ramos,False
"Reis, Ilka Afonso",2,geoinfo,reis ilka afonso,False
"Schimiguel, Juliano",2,geoinfo,schimiguel juliano,False
"Vidal, Vânia",2,geoinfo,vidal vania,False
"Feitosa, Fábio",2,geoinfo,feitosa fabio,False
"Medeiros, Cláudia M. Bauzer",2,geoinfo,medeiros claudia m bauzer,False
"Renschler, Chris S",2,geoinfo,renschler chris s,False
"Pedrosa, Bianca Maria",2,geoinfo,pedrosa bianca maria,False
"Velho, Luiz",2,geoinfo,velho luiz,False
"Santanchč, André",2,geoinfo,santanchc andre,False
"Soares, Valéria Gonçalves",2,geoinfo,soares valeria goncalves,False
"Magalhães, Geovane Cayres",2,geoinfo,magalhaes geovane cayres,False
"Fidalgo, Robson",2,geoinfo,fidalgo robson,False
"Fonseca, Frederico Torres",2,geoinfo,fonseca frederico torres,False
"Fidalgo, Robson do Nascimento",2,geoinfo,fidalgo robson do nascimento,False
"Kriegel, Hans-peter",2,geoinfo,kriegel hanspeter,False
"Kunath, Peter",2,geoinfo,kunath peter,False
"Pfeifle, Martin",2,geoinfo,pfeifle martin,False
"Renz, Matthias",2,geoinfo,renz matthias,False
"Assad, Eduardo Delgado",2,geoinfo,assad eduardo delgado,False
"Câmera, Gilberto",2,geoinfo,camera gilberto,False
"Bettini, Claudio",2,geoinfo,bettini claudio,False
"Lima, Paulo",2,geoinfo,lima paulo,False
"Poz, Aluir Porfirio Dal",2,geoinfo,poz aluir porfirio dal,False
"Pazinatto, Eder",2,geoinfo,pazinatto eder,False
"Fonseca, Frederico",2,geoinfo,fonseca frederico,False
"Paiva, Joćo Argemiro",2,geoinfo,paiva joco argemiro,False
"Figueiredo, Luiz Henrique de",2,geoinfo,figueiredo luiz henrique de,False
"Nesbitt, Lorien",1,geoinfo,nesbitt lorien,False
"Andrade, Pedro Ribeiro",1,geoinfo,andrade pedro ribeiro,False
"Simoes, Rolf E. O.",1,geoinfo,simoes rolf e o,False
"Chuizaca-espinoza, Isabel Adriana",1,geoinfo,chuizacaespinoza isabel adriana,False
"Costa, Gabriel F.",1,geoinfo,costa gabriel f,False
"Cruz, Victor Augusto L.",1,geoinfo,cruz victor augusto l,False
"Fernandes, Anibal Evaristo",1,geoinfo,fernandes anibal evaristo,False
"Souza, Antônio Carlos Zambroni de",1,geoinfo,souza antonio carlos zambroni de,False
"Júnior, Rogerio Costa de Oliveira",1,geoinfo,junior rogerio costa de oliveira,False
"Lopes, Gesiel Rios",1,geoinfo,lopes gesiel rios,False
"Tokuda, Eric K.",1,geoinfo,tokuda eric k,False
"Silva, Roberto F. da",1,geoinfo,silva roberto f da,False
"Sousa, Joelcio Braga de",1,geoinfo,sousa joelcio braga de,False
"Lucas, Luiz Gabriel Camilo",1,geoinfo,lucas luiz gabriel camilo,False
"Namikawa, Laercio",1,geoinfo,namikawa laercio,False
"Machado, Suzane Regina de Amorim Biscaia",1,geoinfo,machado suzane regina de amorim biscaia,False
