id_geoinfo,ordem,autor_original,autor_padronizado,instituicao_original,instituicao_padronizada
83LX3pFwXQZ3V9uMbiY/LHUjj,7,"Andrade, Wilkerson de L.",Wilkerson de L. Andrade,Universidade Federal de Campina Grande (UFCG),Universidade Federal de Campina Grande (UFCG)
83LX3pFwXQZ3V9uMbiY/LHUjj,8,"Cabral, Jairson M.",Jairson M. Cabral,Universidade Federal de Campina Grande (UFCG),Universidade Federal de Campina Grande (UFCG)
83LX3pFwXQZ3V9uMbiY/LHUuu,1,"Andrade Neto, Pedro Ribeiro de",Pedro Ribeiro de Andrade Neto,Universidade Federal do Paraná (UFPR),Universidade Federal do Paraná (UFPR)
83LX3pFwXQZ3V9uMbiY/LHUuu,2,"Ribeiro Junior, Paulo Justiniano",Paulo Justiniano Ribeiro Junior,Universidade Federal do Paraná (UFPR),Universidade Federal do Paraná (UFPR)
83LX3pFwXQZ3V9uMbiY/LHUKe,1,"Andrade Neto, Pedro Ribeiro de",Pedro Ribeiro de Andrade Neto,Universidade Federal do Paraná (UFPR),Universidade Federal do Paraná (UFPR)
83LX3pFwXQZ3V9uMbiY/LHUKe,2,"Ribeiro Junior, Paulo Justiniano",Paulo Justiniano Ribeiro Junior,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHUKe,3,"Fook, Karla Donato",Karla Donato Fook,Centro Federal de Educacaçăo Tecnologica do Maranhăo (CEFET/MA),Centro Federal de Educacaçăo Tecnologica do Maranhăo (CEFET/MA)
83LX3pFwXQZ3V9uMbiY/LHTxE,1,"Bagli, Vantier Veronezi",Vantier Veronezi Bagli,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHTxE,2,"Fonseca, Leila M. G.",Leila M. G. Fonseca,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHToB,1,"Cordeiro, Joăo Pedro",Joăo Pedro Cordeiro,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHToB,2,"Câmara, Gilberto",Gilberto Câmara,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHToB,3,"Moura, Ubirajara F.",Ubirajara F. Moura,"Fundaçăo de Cięncia, Aplicaçőes e Tecnologias Espaciais (FUNCATE)","Fundaçăo de Cięncia, Aplicaçőes e Tecnologias Espaciais (FUNCATE)"
83LX3pFwXQZ3V9uMbiY/LHToB,4,"Barbosa, Cláudio C.",Cláudio C. Barbosa,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHToB,5,"Almeida, Felipe",Felipe Almeida,Instituto Tecnologico de Aeronáutica (ITA),Instituto Tecnologico de Aeronáutica (ITA)
83LX3pFwXQZ3V9uMbiY/LHS35,1,"Costa, Marcelo A.",Marcelo A. Costa,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG)
83LX3pFwXQZ3V9uMbiY/LHS35,2,"Schrerrer, Luciano R.",Luciano R. Schrerrer,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG)
83LX3pFwXQZ3V9uMbiY/LHS35,3,"Assunçăo, Renato M.",Renato M. Assunçăo,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG)
83LX3pFwXQZ3V9uMbiY/LHT4o,1,"Couto, Leonardo M.",Leonardo M. Couto,,
83LX3pFwXQZ3V9uMbiY/LHT4o,2,"Casanova, Marco A.",Marco A. Casanova,,
83LX3pFwXQZ3V9uMbiY/LHT4o,3,"Schwabe, Daniel",Daniel Schwabe,,
83LX3pFwXQZ3V9uMbiY/LHUQQ,1,"Câmara, Gilberto",Gilberto Câmara,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHUQQ,2,"Palomo, Danilo",Danilo Palomo,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHUQQ,3,"Souza, Ricardo Cartaxo Modesto de",Ricardo Cartaxo Modesto de Souza,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHUQQ,4,"Oliveira, Olga Regina Fradico de",Olga Regina Fradico de Oliveira,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHUxR,1,"Davis Junior, Clodoveu A.",Clodoveu A. Davis Junior,Universidade Católica de Minas Gerais,Universidade Católica de Minas Gerais
83LX3pFwXQZ3V9uMbiY/LHUxR,2,"Alves, Leonardo Lacerda",Leonardo Lacerda Alves,Universidade Católica de Minas Gerais,Universidade Católica de Minas Gerais
83LX3pFwXQZ3V9uMbiY/LHUr8,1,"Ferreira, Karine Reis",Karine Reis Ferreira,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHUr8,2,"Vinhas, Lúbia",Lúbia Vinhas,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHUr8,3,"Queiroz, Gilberto Ribeiro de",Gilberto Ribeiro de Queiroz,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHUr8,4,"Souza, Ricardo Cartaxo Modesto de",Ricardo Cartaxo Modesto de Souza,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHUr8,5,"Câmara, Gilberto",Gilberto Câmara,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHTNp,1,"Gibotti, Fernando Renier",Fernando Renier Gibotti,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHTNp,2,"Câmara, Gilberto",Gilberto Câmara,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHTNp,3,"Nogueira, Renato Almeida",Renato Almeida Nogueira,Information Systems Program - Mirassol College Mirassol SP,Information Systems Program - Mirassol College Mirassol SP
83LX3pFwXQZ3V9uMbiY/LHSV2,1,"Iochpe, Cirano",Cirano Iochpe,Universidade Federal do Rio Grande do Sul (UFRGS),Universidade Federal do Rio Grande do Sul (UFRGS)
83LX3pFwXQZ3V9uMbiY/LHSV2,2,"Hess, Guillermo N.",Guillermo N. Hess,Universidade Federal do Rio Grande do Sul (UFRGS),Universidade Federal do Rio Grande do Sul (UFRGS)
83LX3pFwXQZ3V9uMbiY/LHSV2,3,"Ruschel, Cláudio",Cláudio Ruschel,Universidade Federal do Rio Grande do Sul (UFRGS),Universidade Federal do Rio Grande do Sul (UFRGS)
83LX3pFwXQZ3V9uMbiY/LHSV2,4,"Binotto, Alécio P. D.",Alécio P. D. Binotto,Universidade Federal do Rio Grande do Sul (UFRGS),Universidade Federal do Rio Grande do Sul (UFRGS)
83LX3pFwXQZ3V9uMbiY/LHSV2,5,"Almeida, Márcia A. S. de",Márcia A. S. de Almeida,Universidade Federal do Rio Grande do Sul (UFRGS),Universidade Federal do Rio Grande do Sul (UFRGS)
83LX3pFwXQZ3V9uMbiY/LHSV2,6,"Rocha, Luciana V. da",Luciana V. da Rocha,Universidade Federal do Rio Grande do Sul (UFRGS),Universidade Federal do Rio Grande do Sul (UFRGS)
83LX3pFwXQZ3V9uMbiY/LHUFM,1,"Krainski, Elias Teixeira",Elias Teixeira Krainski,Universidade Federal do Paraná (UFPR),Universidade Federal do Paraná (UFPR)
83LX3pFwXQZ3V9uMbiY/LHUFM,2,"Ribeiro Júnior, Paulo Justiniano",Paulo Justiniano Ribeiro Júnior,Universidade Federal do Paraná (UFPR),Universidade Federal do Paraná (UFPR)
83LX3pFwXQZ3V9uMbiY/LHUFM,3,"Andrade Neto, Pedro Ribeiro",Pedro Ribeiro Andrade Neto,Universidade Federal do Paraná (UFPR),Universidade Federal do Paraná (UFPR)
83LX3pFwXQZ3V9uMbiY/LHUFM,4,"Bassanezi, Renato Beozzo",Renato Beozzo Bassanezi,Universidade Federal do Paraná (UFPR),Universidade Federal do Paraná (UFPR)
83LX3pFwXQZ3V9uMbiY/LHSQs,1,"Lima, Carlos M. de",Carlos M. de Lima,Universidade Federal do Rio Grande do Norte (UFRN),Universidade Federal do Rio Grande do Norte (UFRN)
83LX3pFwXQZ3V9uMbiY/LHSQs,2,"Gonçalves, Luiz M. G.",Luiz M. G. Gonçalves,Universidade Federal do Rio Grande do Norte (UFRN),Universidade Federal do Rio Grande do Norte (UFRN)
83LX3pFwXQZ3V9uMbiY/LHSQs,3,"Bentes, Cristiana",Cristiana Bentes,Universidade Federal do Rio de Janeiro (UFRJ),Universidade Federal do Rio de Janeiro (UFRJ)
83LX3pFwXQZ3V9uMbiY/LHSQs,4,"Farias, Ricardo",Ricardo Farias,Universidade Federal do Rio de Janeiro (UFRJ),Universidade Federal do Rio de Janeiro (UFRJ)
83LX3pFwXQZ3V9uMbiY/LHum9,1,"Meyer, Wladimir S.",Wladimir S. Meyer,Universidade Federal do Rio de Janeiro (UFRJ),Universidade Federal do Rio de Janeiro (UFRJ)
83LX3pFwXQZ3V9uMbiY/LHum9,2,"Souza, Jano Moreira de",Jano Moreira de Souza,Universidade Federal do Rio de Janeiro (UFRJ),Universidade Federal do Rio de Janeiro (UFRJ)
83LX3pFwXQZ3V9uMbiY/LHum9,3,"Ramirez, Milton Ramos",Milton Ramos Ramirez,Universidade Federal do Rio de Janeiro (UFRJ),Universidade Federal do Rio de Janeiro (UFRJ)
83LX3pFwXQZ3V9uMbiY/LHRRo,1,"Mota, Lia Toledo Moreira",Lia Toledo Moreira Mota,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas (UNICAMP)
83LX3pFwXQZ3V9uMbiY/LHRRo,2,"Mota, Alexandre de Assis",Alexandre de Assis Mota,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas (UNICAMP)
83LX3pFwXQZ3V9uMbiY/LHRRo,3,"Shin-Ting, Wu",Wu Shin-Ting,Universidade Estadual de Campinas (UNICAMP),Universidade Estadual de Campinas (UNICAMP)
83LX3pFwXQZ3V9uMbiY/LHUUh,1,"Rodrigues, Vinícius Lopes",Vinícius Lopes Rodrigues,Universidade Federal de Viçosa (UFV),Universidade Federal de Viçosa (UFV)
83LX3pFwXQZ3V9uMbiY/LHUUh,2,"Cavalier, Ângelo Sousa",Ângelo Sousa Cavalier,Universidade Federal de Viçosa (UFV),Universidade Federal de Viçosa (UFV)
83LX3pFwXQZ3V9uMbiY/LHUUh,3,"Andrade, Marcus Vinícius Alvim",Marcus Vinícius Alvim Andrade,Universidade Federal de Viçosa (UFV),Universidade Federal de Viçosa (UFV)
83LX3pFwXQZ3V9uMbiY/LHUUh,4,"Queiroz, Gilberto Ribeiro de",Gilberto Ribeiro de Queiroz,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHTui,1,"Safar, Maytham",Maytham Safar,Kuwait University,Kuwait University
83LX3pFwXQZ3V9uMbiY/LHTui,2,"Al-Saleh, Ahmad",Ahmad Al-Saleh,Kuwait University,Kuwait University
83LX3pFwXQZ3V9uMbiY/LHTfF,1,"Santos, Joelma Carla",Joelma Carla Santos,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHTfF,2,"Oliveira, Joăo Ricardo de F.",Joăo Ricardo de F. Oliveira,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHTfF,3,"Dutra, Luciano V.",Luciano V. Dutra,Instituto Nacional de Pesquisas Espaciais (INPE),Instituto Nacional de Pesquisas Espaciais (INPE)
83LX3pFwXQZ3V9uMbiY/LHU82,1,"Santos, Alexandre E. dos",Alexandre E. dos Santos,Universidade Federal de Minas Gerais (UFMG),Universidade Federal de Minas Gerais (UFMG)
