instituicoes,ocorrencias,origem,nome_normalizado,possivel_duplicata
University of Punjab,1,geoinfo,university of punjab,False
University of Texas at Arlington,1,geoinfo,university of texas at arlington,False
Universidade Federal da Fronteira Sul (UFFS),1,geoinfo,universidade federal da fronteira sul uffs,False
Consiglio Nazionale delle Ricerche (CNR),1,geoinfo,consiglio nazionale delle ricerche cnr,False
Embrapa Roraima,1,geoinfo,embrapa roraima,False
Universidade Federal do Oeste da Bahia (UFOBA),1,geoinfo,universidade federal do oeste da bahia ufoba,False
Instituto Chico Mendes de Conservação da Biodiversidade (ICMBio),1,geoinfo,instituto chico mendes de conservacao da biodiversidade icmbio,False
Universidade do Estado do Rio Grande do Norte (UERN),1,geoinfo,universidade do estado do rio grande do norte uern,False
"Institute of Information Science and Technologies ""Alessandro Faedo"" (ISTI)",1,geoinfo,institute of information science and technologies alessandro faedo isti,False
The Boeing Company,1,geoinfo,the boeing company,False
KDD Lab,1,geoinfo,kdd lab,False
University of Pisa,1,geoinfo,university of pisa,False
"Instituto Federal de EducańŃo, CiĻncia e Tecnologia do MaranhŃo (IFMA)",1,geoinfo,instituto federal de educanno cilncia e tecnologia do maranhno ifma,False
Universidade de Lisboa,1,geoinfo,universidade de lisboa,False
"KDD LAB, ISTI-CNR",1,geoinfo,kdd lab isticnr,False
"Universite Paris-IX Dauphine, France",1,geoinfo,universite parisix dauphine france,False
"Instituto Federal de Educação, Cięncia e Tecnologia do Piauí - IFPI",1,geoinfo,instituto federal de educacao ciencia e tecnologia do piaui ifpi,False
"Instituto Federal de Educação, Cięncia e Tecnologia da Paraíba (IFCT-PB)",1,geoinfo,instituto federal de educacao ciencia e tecnologia da paraiba ifctpb,False
"Universidade de São Paulo, São Carlos, USP",1,geoinfo,universidade de sao paulo sao carlos usp,False
Instituto Federal de Educação Cięncia e Tecnologia da Paraíba (IFPB),1,geoinfo,instituto federal de educacao ciencia e tecnologia da paraiba ifpb,False
North - Initiative for Geospatial Open Source software GmbH,1,geoinfo,north initiative for geospatial open source software gmbh,False
FundańŃo Osvaldo Cruz (FIOCRUZ),1,geoinfo,fundanno osvaldo cruz fiocruz,False
KDD Laboratory - ISTI CNR,1,geoinfo,kdd laboratory isti cnr,False
"KDDLAB, ISTI-CNR, Italy",1,geoinfo,kddlab isticnr italy,False
Universidade Federal de Minas Gerias (UFMG),1,geoinfo,universidade federal de minas gerias ufmg,False
Fundação de Aplicação e Tecnologias Espaciais (FUNCATE),1,geoinfo,fundacao de aplicacao e tecnologias espaciais funcate,False
Companhia Paranaense de Energia (COPEL),1,geoinfo,companhia paranaense de energia copel,False
Pontifícia Universidade Católica do Paraná (PUC-PR),1,geoinfo,pontificia universidade catolica do parana pucpr,False
University of Bonn,1,geoinfo,university of bonn,False
University of Massachusetts,1,geoinfo,university of massachusetts,False
Rhode Island School of Design and Architecture,1,geoinfo,rhode island school of design and architecture,False
Universidad Tecnologica del Uruguay (UTEC),1,geoinfo,universidad tecnologica del uruguay utec,False
Federal University of Sao João Del-Rei (UFSJ),1,geoinfo,federal university of sao joao delrei ufsj,False
World Environmental Conservancy (WEC),1,geoinfo,world environmental conservancy wec,False
Instituto de Ciencia e Tecnologia UNESP,1,geoinfo,instituto de ciencia e tecnologia unesp,False
"Instituto de Matematica, Estatística e Computação Científica UNICAMP",1,geoinfo,instituto de matematica estatistica e computacao cientifica unicamp,False
Getulio Vargas Foundation (FGV),1,geoinfo,getulio vargas foundation fgv,False
University of Michigan (UofM),1,geoinfo,university of michigan uofm,False
Centro Federal de EducańŃo Tecnol¾gica do MaranhŃo (CEFET-MA),1,geoinfo,centro federal de educanno tecnol34gica do maranhno cefetma,False
Universidade Luterana do Brasil (ULBRA),1,geoinfo,universidade luterana do brasil ulbra,False
Faculdade Dom Bosco,1,geoinfo,faculdade dom bosco,False
GeoExplore,1,geoinfo,geoexplore,False
"Departamento de Informática, Universidade Federal do Pará (UFPA)",1,geoinfo,departamento de informatica universidade federal do para ufpa,False
"Núcleo de Cenários, Instituto de Desenvolvimento Econômico-Social do Pará (IDESP)",1,geoinfo,nucleo de cenarios instituto de desenvolvimento economicosocial do para idesp,False
"Centro de Cięncias do Sistema Terrestre (CST), Instituto Nacional de Pesquisas Espaciais (INPE)",1,geoinfo,centro de ciencias do sistema terrestre cst instituto nacional de pesquisas espaciais inpe,False
"Divisão de Processamento de Imagens (DPI), Instituto Nacional de Pesquisas Espaciais",1,geoinfo,divisao de processamento de imagens dpi instituto nacional de pesquisas espaciais,False
"Departamento de Antropologia, Museu Paraense Emílio Goeldi (MPEG)",1,geoinfo,departamento de antropologia museu paraense emilio goeldi mpeg,False
Carl von Ossietzky Universität Oldenburg,1,geoinfo,carl von ossietzky universitat oldenburg,False
Faculdade de Cięncias Humanas (ESUDA),1,geoinfo,faculdade de ciencias humanas esuda,False
Ca’ Foscari University,1,geoinfo,ca foscari university,False
FundańŃo CPqD,1,geoinfo,fundanno cpqd,False
Instituto Oswaldo Cruz,1,geoinfo,instituto oswaldo cruz,False
Procempa - Empresa da Tecnologia da Informação e Comunicação de Porto Alegre,1,geoinfo,procempa empresa da tecnologia da informacao e comunicacao de porto alegre,False
Cientistas Associados Desenvolvimento Tecnológico Ltda,1,geoinfo,cientistas associados desenvolvimento tecnologico ltda,False
Centro Tecnológico do Exército,1,geoinfo,centro tecnologico do exercito,False
Centro Federal de Educacação Tecnologica do Maranhão (CEFET/MA),1,geoinfo,centro federal de educacacao tecnologica do maranhao cefetma,False
"Fundação de Cięncia, Aplicaçőes e Tecnologias Espaciais (FUNCATE)",1,geoinfo,fundacao de ciencia aplicacoes e tecnologias espaciais funcate,False
Universidade Católica de Minas Gerais,1,geoinfo,universidade catolica de minas gerais,False
Information Systems Program - Mirassol College Mirassol SP,1,geoinfo,information systems program mirassol college mirassol sp,False
Kuwait University,1,geoinfo,kuwait university,False
